t,NH,NL,T45,P3kPa,Wf,VSV,VBV,FN,Lim
0.00,983,525,553,690.1,0.6657,-10.0,1.00,22500,Wf
0.05,973,521,553,683.2,0.6689,-10.0,1.00,22606,Wf
0.10,963,517,553,676.4,0.6737,-10.0,1.00,22770,Wf
0.15,954,513,553,669.8,0.6803,-10.0,1.00,22993,Wf
0.20,945,510,553,663.4,0.6886,-10.0,1.00,23272,Wf
0.25,936,506,553,657.1,0.6985,-10.0,1.00,23607,Wf
0.30,927,502,554,651.1,0.7100,-10.0,1.00,23997,Wf
0.35,919,498,554,645.2,0.7231,-10.0,1.00,24439,Wf
0.40,911,494,555,639.5,0.7377,-10.0,1.00,24934,Wf
0.45,903,491,556,634.0,0.7539,-10.0,1.00,25478,Wf
0.50,895,487,556,628.7,0.7714,-10.0,1.00,26072,Wf
0.55,888,484,557,623.7,0.7904,-10.0,1.00,26713,Wf
0.60,881,481,558,618.9,0.8107,-10.0,1.00,27400,Wf
0.65,875,477,559,614.3,0.8323,-10.0,1.00,28130,Wf
0.70,869,474,561,609.9,0.8552,-10.0,1.00,28903,Wf
0.75,863,471,562,605.8,0.8793,-10.0,1.00,29717,Wf
0.80,857,468,563,601.9,0.9045,-10.0,1.00,30568,Wf
0.85,852,465,565,598.3,0.9308,-10.0,1.00,31457,Wf
0.90,847,462,566,594.9,0.9581,-10.0,1.00,32380,Wf
0.95,843,459,568,591.8,0.9864,-10.0,1.00,33336,Wf
1.00,843,457,602,592.1,1.4799,-10.0,1.00,50017,Wf
1.05,847,456,623,594.4,1.7762,-10.0,1.00,60032,Wf
1.10,853,455,644,598.7,2.0734,-10.0,1.00,70076,Wf
1.15,862,454,667,605.1,2.3709,-10.0,1.00,80131,Wf
1.20,874,455,690,613.3,2.6683,-10.0,1.00,90180,Wf
1.25,888,455,715,623.5,2.9649,-10.0,1.00,100207,Wf
1.30,905,457,741,635.5,3.2604,-10.0,1.00,110194,Wf
1.35,925,458,769,649.3,3.5543,-10.0,1.00,120126,Wf
1.40,947,461,798,664.9,3.8461,-10.0,1.00,129986,Wf
1.45,972,464,828,682.2,4.1352,-10.0,1.00,139759,Wf
1.50,999,467,861,701.3,4.4214,-10.0,1.00,149430,Wf
1.55,1028,471,891,721.6,4.6601,-10.0,1.00,157500,Wf
1.60,1056,474,902,741.6,4.6601,-10.0,1.00,157500,Wf
1.65,1084,478,913,761.3,4.6601,-10.0,1.00,157500,Wf
1.70,1112,481,923,780.6,4.6601,-10.0,1.00,157500,Wf
1.75,1139,485,934,799.6,4.6601,-10.0,1.00,157500,Wf
1.80,1165,488,944,818.3,4.6601,-10.0,1.00,157500,Wf
1.85,1192,492,954,836.7,4.6601,-10.0,1.00,157500,Wf
1.90,1217,495,963,854.8,4.6601,-10.0,1.00,157500,Wf
1.95,1243,499,973,872.5,4.6601,-10.0,1.00,157500,Wf
2.00,1268,502,983,890.0,4.6601,-10.0,1.00,157500,Wf
2.05,1292,505,992,907.2,4.6601,-10.0,1.00,157500,Wf
2.10,1316,509,1001,924.1,4.6601,-10.0,1.00,157500,Wf
2.15,1340,512,1010,940.7,4.6601,-10.0,1.00,157500,Wf
2.20,1363,515,1019,957.1,4.6601,-10.0,1.00,157500,Wf
2.25,1386,518,1028,973.2,4.6601,-10.0,1.00,157500,Wf
2.30,1409,521,1036,989.0,4.6601,-10.0,1.00,157500,Wf
2.35,1431,525,1045,1004.5,4.6601,-10.0,1.00,157500,Wf
2.40,1452,528,1053,1019.8,4.6601,-10.0,1.00,157500,Wf
2.45,1474,531,1061,1034.8,4.6601,-10.0,1.00,157500,Wf
2.50,1495,534,1069,1049.6,4.6601,-10.0,1.00,157500,Wf
2.55,1516,537,1077,1064.1,4.6601,-10.0,1.00,157500,Wf
2.60,1536,540,1085,1078.4,4.6601,-10.0,1.00,157500,Wf
2.65,1556,543,1092,1092.5,4.6601,-10.0,1.00,157500,Wf
2.70,1576,546,1100,1106.3,4.6601,-10.0,1.00,157500,Wf
2.75,1595,548,1107,1119.9,4.6601,-10.0,1.00,157500,Wf
2.80,1614,551,1114,1133.2,4.6601,-10.0,1.00,157500,Wf
2.85,1633,554,1122,1146.4,4.6601,-10.0,1.00,157500,Wf
2.90,1651,557,1129,1159.3,4.6601,-10.0,1.00,157500,Wf
2.95,1669,560,1135,1172.0,4.6601,-10.0,1.00,157500,Wf
3.00,1687,562,1142,1184.5,4.6601,-10.0,1.00,157500,Wf
3.05,1704,565,1149,1196.8,4.6601,-10.0,1.00,157500,Wf
3.10,1722,568,1155,1208.8,4.6601,-10.0,1.00,157500,Wf
3.15,1739,570,1162,1220.7,4.6601,-10.0,1.00,157500,Wf
3.20,1755,573,1168,1232.4,4.6601,-10.0,1.00,157500,Wf
3.25,1772,576,1174,1243.9,4.6601,-10.0,1.00,157500,Wf
3.30,1788,578,1181,1255.2,4.6601,-10.0,1.00,157500,Wf
3.35,1803,581,1187,1266.3,4.6601,-10.0,1.00,157500,Wf
3.40,1819,583,1193,1277.2,4.6601,-10.0,1.00,157500,Wf
3.45,1834,586,1198,1287.9,4.6601,-10.0,1.00,157500,Wf
3.50,1849,588,1204,1298.5,4.6601,-10.0,1.00,157500,Wf
3.55,1864,591,1210,1308.9,4.6601,-10.0,1.00,157500,Wf
3.60,1879,593,1215,1319.1,4.6601,-10.0,1.00,157500,Wf
3.65,1893,596,1221,1329.1,4.6601,-10.0,1.00,157500,Wf
3.70,1907,598,1226,1339.0,4.6601,-10.0,1.00,157500,Wf
3.75,1921,600,1231,1348.7,4.6601,-10.0,1.00,157500,Wf
3.80,1934,603,1236,1358.2,4.6601,-10.0,1.00,157500,Wf
3.85,1948,605,1242,1367.6,4.6601,-10.0,1.00,157500,Wf
3.90,1961,607,1247,1376.9,4.6601,-10.0,1.00,157500,Wf
3.95,1974,610,1251,1385.9,4.6601,-10.0,1.00,157500,Wf
4.00,1987,612,1256,1394.9,4.6601,-10.0,1.00,157500,Wf
4.05,1999,614,1261,1403.6,4.6601,-10.0,1.00,157500,Wf
4.10,2011,616,1266,1412.3,4.6601,-10.0,1.00,157500,Wf
4.15,2024,618,1270,1420.7,4.6601,-10.0,1.00,157500,Wf
4.20,2035,621,1275,1429.1,4.6601,-10.0,1.00,157500,Wf
4.25,2047,623,1279,1437.3,4.6601,-10.0,1.00,157500,Wf
4.30,2059,625,1284,1445.4,4.6601,-10.0,1.00,157500,Wf
4.35,2070,627,1288,1453.3,4.6601,-10.0,1.00,157500,Wf
4.40,2081,629,1292,1461.1,4.6601,-10.0,1.00,157500,Wf
4.45,2092,631,1296,1468.8,4.6601,-10.0,1.00,157500,Wf
4.50,2103,633,1301,1476.3,4.6601,-10.0,1.00,157500,Wf
4.55,2113,635,1305,1483.7,4.6601,-10.0,1.00,157500,Wf
4.60,2124,637,1308,1491.0,4.6601,-10.0,1.00,157500,Wf
4.65,2134,639,1312,1498.2,4.6601,-10.0,1.00,157500,Wf
4.70,2144,641,1316,1505.3,4.6601,-10.0,1.00,157500,Wf
4.75,2154,643,1320,1512.2,4.6601,-10.0,1.00,157500,Wf
4.80,2163,645,1324,1519.0,4.6601,-10.0,1.00,157500,Wf
4.85,2173,647,1327,1525.7,4.6601,-10.0,1.00,157500,Wf
4.90,2182,649,1331,1532.3,4.6601,-10.0,1.00,157500,Wf
4.95,2192,650,1334,1538.8,4.6601,-10.0,1.00,157500,Wf
5.00,2201,652,1338,1545.2,4.6601,-10.0,1.00,157500,Wf
5.05,2210,654,1341,1551.5,4.6601,-10.0,1.00,157500,Wf
5.10,2218,656,1345,1557.6,4.6601,-10.0,1.00,157500,Wf
5.15,2227,658,1348,1563.7,4.6601,-10.0,1.00,157500,Wf
5.20,2236,659,1351,1569.6,4.6601,-10.0,1.00,157500,Wf
5.25,2244,661,1354,1575.5,4.6601,-10.0,1.00,157500,Wf
5.30,2252,663,1357,1581.3,4.6601,-10.0,1.00,157500,Wf
5.35,2260,665,1360,1586.9,4.6601,-10.0,1.00,157500,Wf
5.40,2268,666,1364,1592.5,4.6601,-10.0,1.00,157500,Wf
5.45,2276,668,1366,1598.0,4.6601,-10.0,1.00,157500,Wf
5.50,2284,670,1369,1603.4,4.6601,-10.0,1.00,157500,Wf
5.55,2291,671,1372,1608.7,4.6601,-10.0,1.00,157500,Wf
5.60,2299,673,1375,1613.9,4.6601,-10.0,1.00,157500,Wf
5.65,2306,675,1378,1619.0,4.6601,-10.0,1.00,157500,Wf
5.70,2313,676,1381,1624.1,4.6601,-10.0,1.00,157500,Wf
5.75,2320,678,1383,1629.0,4.6601,-10.0,1.00,157500,Wf
5.80,2327,679,1386,1633.9,4.6601,-10.0,1.00,157500,Wf
5.85,2334,681,1389,1638.7,4.6601,-10.0,1.00,157500,Wf
5.90,2341,682,1391,1643.4,4.6601,-10.0,1.00,157500,Wf
5.95,2347,684,1394,1648.0,4.6601,-10.0,1.00,157500,Wf
6.00,2354,685,1396,1652.6,4.6601,-10.0,1.00,157500,Wf
6.05,2360,687,1399,1657.1,4.6601,-10.0,1.00,157500,Wf
6.10,2366,688,1401,1661.5,4.6601,-10.0,1.00,157500,Wf
6.15,2371,690,1376,1664.8,4.5203,-10.0,1.00,152775,T45
6.20,2377,691,1398,1668.9,4.6260,-10.0,1.00,156346,Wf
6.25,2383,692,1407,1673.1,4.6601,-10.0,1.00,157500,Wf
6.30,2387,694,1382,1676.3,4.5203,-10.0,1.00,152775,T45
