FH,FC,dT45_K,dWf_pct,dN1_pct,Vib_mms,FanEta,HPCEta,CreepPct,RUL_h,Status
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.7000,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.9100,0.8800,0.0,0,🟢 HEALTHY
0,0,0.0,0.00,0.00,0.50,0.7000,0.8800,0.0,0,🟢 HEALTHY
