Time,Pc_bar,Thrust_kN,M_tot,OF,Tw_max,Tc_out,Sigma_Hoop,Sigma_Therm,SF
0.000,1.00,0.39,0.16,0.00,299.7,220.3,5.3,0.0,47.42
0.010,1.00,0.39,0.16,0.00,299.5,220.0,5.3,0.0,47.42
0.020,1.00,0.39,0.16,0.00,299.2,219.8,5.3,0.0,47.42
0.030,1.00,0.39,0.16,0.00,298.9,219.6,5.3,0.0,47.42
0.040,1.00,0.39,0.16,0.00,298.6,219.3,5.3,0.0,47.42
0.050,1.00,0.39,0.16,0.00,298.4,219.1,5.3,0.0,47.42
0.060,1.00,0.39,0.16,0.00,298.1,218.9,5.3,0.0,47.42
0.070,1.00,0.39,0.16,0.00,297.8,218.7,5.3,0.0,47.42
0.080,1.00,0.39,0.16,0.00,297.6,218.4,5.3,0.0,47.42
0.090,1.00,0.39,0.16,0.00,297.3,218.2,5.3,0.0,47.42
0.100,1.00,0.39,0.16,0.00,297.0,218.0,5.3,0.0,47.42
0.110,1.00,0.39,0.20,0.00,296.7,215.0,5.3,0.0,47.42
0.120,1.00,0.39,0.24,0.00,296.3,212.4,5.3,0.0,47.42
0.130,1.00,0.39,0.27,0.00,295.9,210.2,5.3,0.0,47.42
0.140,1.00,0.39,0.31,0.00,295.3,208.2,5.3,0.0,47.42
0.150,1.00,0.39,0.35,0.00,294.8,206.3,5.3,0.0,47.42
0.160,1.00,0.39,0.55,0.43,294.2,204.6,5.3,0.0,47.42
0.170,1.74,0.68,0.75,0.78,293.6,203.0,9.2,0.0,27.22
0.180,2.83,1.10,0.95,1.08,293.2,201.5,14.9,0.0,16.78
0.190,4.06,1.58,1.15,1.33,293.0,200.2,21.4,0.0,11.68
0.200,5.41,2.11,1.35,1.55,293.1,199.1,28.5,0.0,8.76
0.210,6.86,2.67,1.55,1.73,293.5,198.2,36.2,0.0,6.91
0.220,8.39,3.26,1.75,1.90,294.3,197.6,44.2,0.0,5.65
0.230,12.22,4.75,1.95,2.05,297.0,197.2,64.4,0.0,3.88
0.240,13.48,5.24,2.15,2.18,299.9,197.9,71.1,0.0,3.52
0.250,14.74,5.73,2.35,2.30,303.1,198.7,77.7,2.9,3.10
0.260,15.99,6.22,2.55,2.40,306.9,199.6,84.3,6.4,2.76
0.270,17.25,6.71,2.75,2.50,311.4,200.7,90.9,10.6,2.46
0.280,18.51,7.20,2.95,2.59,316.1,201.8,97.6,15.1,2.22
0.290,19.76,7.69,3.15,2.67,321.1,203.1,104.2,19.7,2.02
0.300,21.02,8.17,3.35,2.74,326.3,204.4,110.8,24.5,1.85
0.310,22.27,8.66,3.55,2.81,331.6,205.9,117.4,29.6,1.70
0.320,23.53,9.15,3.75,2.87,337.2,207.4,124.0,34.8,1.57
0.330,24.79,9.64,3.95,2.93,343.0,209.0,130.7,40.2,1.46
0.340,26.04,10.13,4.15,2.98,348.9,210.7,137.3,45.7,1.37
0.350,27.30,10.62,4.35,3.03,355.0,212.4,143.9,51.4,1.28
0.360,28.56,11.11,4.55,3.08,361.2,214.2,150.5,57.2,1.20
0.370,29.81,11.60,4.75,3.12,367.6,216.1,157.2,63.2,1.13
0.380,31.07,12.08,4.96,3.16,374.1,218.0,163.8,69.3,1.07
0.390,32.33,12.57,5.16,3.20,380.7,219.9,170.4,75.5,1.02
0.400,33.58,13.06,5.36,3.24,387.5,221.9,177.0,81.8,0.97
0.410,34.84,13.55,5.56,3.27,394.3,224.0,183.7,88.2,0.92
0.420,36.09,14.04,5.76,3.31,401.2,226.0,190.3,94.6,0.88
0.430,37.35,14.53,5.96,3.34,408.2,228.1,196.9,101.2,0.84
0.440,38.61,15.02,6.16,3.37,415.3,230.2,203.5,107.8,0.80
0.450,39.86,15.50,6.36,3.40,422.4,232.4,210.2,114.5,0.77
0.460,41.12,15.99,6.56,3.42,429.6,234.5,216.8,121.2,0.74
0.470,42.38,16.48,6.76,3.45,436.8,236.7,223.4,127.9,0.71
0.480,43.63,16.97,6.96,3.47,444.1,238.9,230.0,134.7,0.69
0.490,44.89,17.46,7.16,3.49,451.4,241.1,236.6,141.6,0.66
0.500,46.15,17.95,7.36,3.52,458.7,243.3,243.3,148.4,0.64
0.510,46.15,17.95,7.36,3.52,465.9,246.0,243.3,155.1,0.63
0.520,46.15,17.95,7.36,3.52,472.9,248.6,243.3,161.6,0.62
0.530,46.15,17.95,7.36,3.52,479.7,251.2,243.3,168.0,0.61
0.540,46.15,17.95,7.36,3.52,486.4,253.7,243.3,174.3,0.60
0.550,46.15,17.95,7.36,3.52,493.0,256.1,243.3,180.4,0.59
0.560,46.15,17.95,7.36,3.52,499.4,258.5,243.3,186.4,0.58
0.570,46.15,17.95,7.36,3.52,505.7,260.9,243.3,192.3,0.57
0.580,46.15,17.95,7.36,3.52,511.8,263.2,243.3,198.0,0.57
0.590,46.15,17.95,7.36,3.52,517.8,265.4,243.3,203.6,0.56
0.600,46.15,17.95,7.36,3.52,523.7,267.7,243.3,209.1,0.55
0.610,46.15,17.95,7.36,3.52,529.4,269.8,243.3,214.5,0.55
0.620,46.15,17.95,7.36,3.52,535.0,271.9,243.3,219.7,0.54
0.630,46.15,17.95,7.36,3.52,540.5,274.0,243.3,224.9,0.53
0.640,46.15,17.95,7.36,3.52,545.9,276.1,243.3,229.9,0.53
0.650,46.15,17.95,7.36,3.52,551.1,278.1,243.3,234.8,0.52
0.660,46.15,17.95,7.36,3.52,556.3,280.0,243.3,239.6,0.52
0.670,46.15,17.95,7.36,3.52,561.3,281.9,243.3,244.3,0.51
0.680,46.15,17.95,7.36,3.52,566.2,283.8,243.3,248.9,0.51
0.690,46.15,17.95,7.36,3.52,571.0,285.6,243.3,253.4,0.50
0.700,46.15,17.95,7.36,3.52,575.8,287.4,243.3,257.8,0.50
0.710,46.15,17.95,7.36,3.52,580.4,289.2,243.3,262.1,0.49
0.720,46.15,17.95,7.36,3.52,584.9,290.9,243.3,266.3,0.49
0.730,46.15,17.95,7.36,3.52,589.3,292.6,243.3,270.5,0.49
0.740,46.15,17.95,7.36,3.52,593.6,294.3,243.3,274.5,0.48
0.750,46.15,17.95,7.36,3.52,597.8,295.9,243.3,278.4,0.48
0.760,46.15,17.95,7.36,3.52,601.9,297.5,243.3,282.3,0.19
0.770,46.15,17.95,7.36,3.52,605.9,299.0,243.3,286.0,0.19
0.780,46.15,17.95,7.36,3.52,609.9,300.5,243.3,289.7,0.19
0.790,46.15,17.95,7.36,3.52,613.7,302.0,243.3,293.3,0.19
0.800,46.15,17.95,7.36,3.52,617.5,303.5,243.3,296.9,0.19
0.810,46.15,17.95,7.36,3.52,621.2,304.9,243.3,300.3,0.18
0.820,46.15,17.95,7.36,3.52,624.8,306.3,243.3,303.7,0.18
0.830,46.15,17.95,7.36,3.52,628.3,307.7,243.3,307.0,0.18
0.840,46.15,17.95,7.36,3.52,631.8,309.0,243.3,310.2,0.18
0.850,46.15,17.95,7.36,3.52,635.2,310.3,243.3,313.4,0.18
0.860,46.15,17.95,7.36,3.52,638.5,311.6,243.3,316.5,0.18
0.870,46.15,17.95,7.36,3.52,641.7,312.9,243.3,319.5,0.18
0.880,46.15,17.95,7.36,3.52,644.8,314.1,243.3,322.4,0.18
0.890,46.15,17.95,7.36,3.52,647.9,315.3,243.3,325.3,0.18
0.900,46.15,17.95,7.36,3.52,650.9,316.5,243.3,328.1,0.18
0.910,46.15,17.95,7.36,3.52,653.9,317.7,243.3,330.9,0.17
0.920,46.15,17.95,7.36,3.52,656.8,318.8,243.3,333.6,0.17
0.930,46.15,17.95,7.36,3.52,659.6,319.9,243.3,336.2,0.17
0.940,46.15,17.95,7.36,3.52,662.4,321.0,243.3,338.8,0.17
0.950,46.15,17.95,7.36,3.52,665.1,322.1,243.3,341.3,0.17
0.960,46.15,17.95,7.36,3.52,667.7,323.1,243.3,343.8,0.17
0.970,46.15,17.95,7.36,3.52,670.3,324.1,243.3,346.2,0.17
0.980,46.15,17.95,7.36,3.52,672.8,325.1,243.3,348.6,0.17
0.990,46.15,17.95,7.36,3.52,675.3,326.1,243.3,350.9,0.17
1.000,46.15,17.95,7.36,3.52,677.7,327.0,243.3,353.2,0.17
1.010,46.15,17.95,7.36,3.52,680.1,328.0,243.3,355.4,0.17
1.020,46.15,17.95,7.36,3.52,682.4,328.9,243.3,357.5,0.17
1.030,46.15,17.95,7.36,3.52,684.7,329.8,243.3,359.7,0.17
1.040,46.15,17.95,7.36,3.52,686.9,330.7,243.3,361.7,0.17
1.050,46.15,17.95,7.36,3.52,689.0,331.5,243.3,363.7,0.16
1.060,46.15,17.95,7.36,3.52,691.1,332.4,243.3,365.7,0.16
1.070,46.15,17.95,7.36,3.52,693.2,333.2,243.3,367.7,0.16
1.080,46.15,17.95,7.36,3.52,695.2,334.0,243.3,369.5,0.16
1.090,46.15,17.95,7.36,3.52,697.2,334.8,243.3,371.4,0.16
1.100,46.15,17.95,7.36,3.52,699.1,335.6,243.3,373.2,0.16
1.110,46.15,17.95,7.36,3.52,701.0,336.3,243.3,375.0,0.16
1.120,46.15,17.95,7.36,3.52,702.9,337.1,243.3,376.7,0.16
1.130,46.15,17.95,7.36,3.52,704.7,337.8,243.3,378.4,0.16
1.140,46.15,17.95,7.36,3.52,706.5,338.5,243.3,380.0,0.16
1.150,46.15,17.95,7.36,3.52,708.2,339.2,243.3,381.7,0.16
1.160,46.15,17.95,7.36,3.52,709.9,339.9,243.3,383.2,0.16
